date,header,name,odds_order,odds_name,odds,odds_enabled
2024-05-31T23:36:57.698335,Celkovo - Víťaz,ANO 2011,1.23,áno,1.23,True
2024-05-31T23:36:57.698335,Celkovo - Víťaz,ANO 2011,1.23,nie,3.6,True
2024-05-31T23:36:57.698335,Celkovo - Víťaz,SPOLU,3.65,áno,3.65,True
2024-05-31T23:36:57.698335,Celkovo - Víťaz,SPOLU,3.65,nie,1.22,True
2024-05-31T23:36:57.698335,Celkovo - Víťaz,SPD a Trikolora,175.0,áno,175.0,True
2024-05-31T23:36:57.698335,Celkovo - Víťaz,SPD a Trikolora,175.0,nie,1.0,False
2024-05-31T23:36:57.698335,Celkovo - Víťaz,Starostové a osobnosti pro Evropu,150.0,áno,150.0,True
2024-05-31T23:36:57.698335,Celkovo - Víťaz,Starostové a osobnosti pro Evropu,150.0,nie,1.0,False
2024-05-31T23:36:57.698335,Celkovo - Víťaz,Česká pirátská strana,75.0,áno,75.0,True
2024-05-31T23:36:57.698335,Celkovo - Víťaz,Česká pirátská strana,75.0,nie,1.0,False
2024-05-31T23:36:57.698335,Získa viac percent,Starostové a osobnosti pro Evropu - SPD a Trikolora,1.5,Starostové a osobnosti pro Evropu,1.5,True
2024-05-31T23:36:57.698335,Získa viac percent,Starostové a osobnosti pro Evropu - SPD a Trikolora,1.5,SPD a Trikolora,2.25,True
2024-05-31T23:36:57.698335,Získa viac percent,Česká pirátská strana - SPD a Trikolora,1.2,Česká pirátská strana,1.2,True
2024-05-31T23:36:57.698335,Získa viac percent,Česká pirátská strana - SPD a Trikolora,1.2,SPD a Trikolora,3.6,True
2024-05-31T23:36:57.698335,Získa viac percent,Česká pirátská strana - Starostové a osobnosti pro Evropu,1.5,Česká pirátská strana,1.5,True
2024-05-31T23:36:57.698335,Získa viac percent,Česká pirátská strana - Starostové a osobnosti pro Evropu,1.5,Starostové a osobnosti pro Evropu,2.25,True
2024-06-01T04:17:36.049076,Celkovo - Víťaz,ANO 2011,1.23,áno,1.23,True
2024-06-01T04:17:36.049076,Celkovo - Víťaz,ANO 2011,1.23,nie,3.6,True
2024-06-01T04:17:36.049076,Celkovo - Víťaz,SPOLU,3.65,áno,3.65,True
2024-06-01T04:17:36.049076,Celkovo - Víťaz,SPOLU,3.65,nie,1.22,True
2024-06-01T04:17:36.049076,Celkovo - Víťaz,SPD a Trikolora,175.0,áno,175.0,True
2024-06-01T04:17:36.049076,Celkovo - Víťaz,SPD a Trikolora,175.0,nie,1.0,False
2024-06-01T04:17:36.049076,Celkovo - Víťaz,Starostové a osobnosti pro Evropu,150.0,áno,150.0,True
2024-06-01T04:17:36.049076,Celkovo - Víťaz,Starostové a osobnosti pro Evropu,150.0,nie,1.0,False
2024-06-01T04:17:36.049076,Celkovo - Víťaz,Česká pirátská strana,75.0,áno,75.0,True
2024-06-01T04:17:36.049076,Celkovo - Víťaz,Česká pirátská strana,75.0,nie,1.0,False
2024-06-01T04:17:36.049076,Získa viac percent,Starostové a osobnosti pro Evropu - SPD a Trikolora,1.5,Starostové a osobnosti pro Evropu,1.5,True
2024-06-01T04:17:36.049076,Získa viac percent,Starostové a osobnosti pro Evropu - SPD a Trikolora,1.5,SPD a Trikolora,2.25,True
2024-06-01T04:17:36.049076,Získa viac percent,Česká pirátská strana - SPD a Trikolora,1.2,Česká pirátská strana,1.2,True
2024-06-01T04:17:36.049076,Získa viac percent,Česká pirátská strana - SPD a Trikolora,1.2,SPD a Trikolora,3.6,True
2024-06-01T04:17:36.049076,Získa viac percent,Česká pirátská strana - Starostové a osobnosti pro Evropu,1.5,Česká pirátská strana,1.5,True
2024-06-01T04:17:36.049076,Získa viac percent,Česká pirátská strana - Starostové a osobnosti pro Evropu,1.5,Starostové a osobnosti pro Evropu,2.25,True
